arena,arena_label,document_id,included,source_block,source_file,source_type
arxiv,arXiv (academic),arxiv_2010_1003.3766v1,1,,source\arxiv\2010\1003.3766v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.3767v1,1,,source\arxiv\2010\1003.3767v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.3775v1,1,,source\arxiv\2010\1003.3775v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.3821v1,1,,source\arxiv\2010\1003.3821v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.3967v5,1,,source\arxiv\2010\1003.3967v5.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.4099v1,1,,source\arxiv\2010\1003.4099v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.4140v1,1,,source\arxiv\2010\1003.4140v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.4141v1,1,,source\arxiv\2010\1003.4141v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.4142v1,1,,source\arxiv\2010\1003.4142v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.4145v1,1,,source\arxiv\2010\1003.4145v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.4196v1,1,,source\arxiv\2010\1003.4196v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.4587v1,1,,source\arxiv\2010\1003.4587v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.4781v1,1,,source\arxiv\2010\1003.4781v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.5173v1,1,,source\arxiv\2010\1003.5173v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.5305v2,1,,source\arxiv\2010\1003.5305v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.5399v3,1,,source\arxiv\2010\1003.5399v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.5899v1,1,,source\arxiv\2010\1003.5899v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1003.5956v2,1,,source\arxiv\2010\1003.5956v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.0018v2,1,,source\arxiv\2010\1004.0018v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.0700v2,1,,source\arxiv\2010\1004.0700v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1061v1,1,,source\arxiv\2010\1004.1061v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1230v1,1,,source\arxiv\2010\1004.1230v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1540v1,1,,source\arxiv\2010\1004.1540v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1586v4,1,,source\arxiv\2010\1004.1586v4.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1629v1,1,,source\arxiv\2010\1004.1629v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1744v1,1,,source\arxiv\2010\1004.1744v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1772v1,1,,source\arxiv\2010\1004.1772v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1794v1,1,,source\arxiv\2010\1004.1794v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.1983v1,1,,source\arxiv\2010\1004.1983v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2003v2,1,,source\arxiv\2010\1004.2003v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2008v1,1,,source\arxiv\2010\1004.2008v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2027v2,1,,source\arxiv\2010\1004.2027v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2280v2,1,,source\arxiv\2010\1004.2280v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2302v3,1,,source\arxiv\2010\1004.2302v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2304v1,1,,source\arxiv\2010\1004.2304v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2342v3,1,,source\arxiv\2010\1004.2342v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2624v1,1,,source\arxiv\2010\1004.2624v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2626v1,1,,source\arxiv\2010\1004.2626v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2717v2,1,,source\arxiv\2010\1004.2717v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2854v1,1,,source\arxiv\2010\1004.2854v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2860v1,1,,source\arxiv\2010\1004.2860v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2870v1,1,,source\arxiv\2010\1004.2870v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.2880v1,1,,source\arxiv\2010\1004.2880v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3147v1,1,,source\arxiv\2010\1004.3147v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3196v1,1,,source\arxiv\2010\1004.3196v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3241v1,1,,source\arxiv\2010\1004.3241v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3260v1,1,,source\arxiv\2010\1004.3260v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3390v1,1,,source\arxiv\2010\1004.3390v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3460v1,1,,source\arxiv\2010\1004.3460v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3478v2,1,,source\arxiv\2010\1004.3478v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3568v1,1,,source\arxiv\2010\1004.3568v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3708v1,1,,source\arxiv\2010\1004.3708v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3809v1,1,,source\arxiv\2010\1004.3809v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3884v1,1,,source\arxiv\2010\1004.3884v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3887v1,1,,source\arxiv\2010\1004.3887v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3919v1,1,,source\arxiv\2010\1004.3919v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3932v1,1,,source\arxiv\2010\1004.3932v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.3939v1,1,,source\arxiv\2010\1004.3939v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.4089v1,1,,source\arxiv\2010\1004.4089v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.4095v1,1,,source\arxiv\2010\1004.4095v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.4342v2,1,,source\arxiv\2010\1004.4342v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.4734v1,1,,source\arxiv\2010\1004.4734v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.4801v1,1,,source\arxiv\2010\1004.4801v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.4942v2,1,,source\arxiv\2010\1004.4942v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.5019v3,1,,source\arxiv\2010\1004.5019v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.5071v1,1,,source\arxiv\2010\1004.5071v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.5215v1,1,,source\arxiv\2010\1004.5215v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.5222v1,1,,source\arxiv\2010\1004.5222v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.5326v1,1,,source\arxiv\2010\1004.5326v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.5339v3,1,,source\arxiv\2010\1004.5339v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1004.5500v1,1,,source\arxiv\2010\1004.5500v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0080v1,1,,source\arxiv\2010\1005.0080v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0089v1,1,,source\arxiv\2010\1005.0089v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0103v3,1,,source\arxiv\2010\1005.0103v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0104v1,1,,source\arxiv\2010\1005.0104v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0125v1,1,,source\arxiv\2010\1005.0125v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0180v1,1,,source\arxiv\2010\1005.0180v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0530v1,1,,source\arxiv\2010\1005.0530v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0605v1,1,,source\arxiv\2010\1005.0605v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0608v1,1,,source\arxiv\2010\1005.0608v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0707v1,1,,source\arxiv\2010\1005.0707v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0749v1,1,,source\arxiv\2010\1005.0749v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0896v1,1,,source\arxiv\2010\1005.0896v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0901v1,1,,source\arxiv\2010\1005.0901v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.0917v1,1,,source\arxiv\2010\1005.0917v1.txt,arXiv paper
